poll_id,instituto,contratante,data_inicio_campo,data_fim_campo,data_publicacao,amostra,margem_erro,turno,cenario,candidato_a,candidato_b,pct_lula,pct_flavio,brancos_nulos,indecisos,gap_lula_flavio,fonte_url,observacoes
3aae975357,Datafolha,,,2022-09-30,,6800,,1,Lula vs Bolsonaro direto,Lula (PT),Bolsonaro (PL),50.0,36.0,,,14.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,
048129f31a,Ipec,,,2022-09-30,,3008,,1,Lula vs Bolsonaro direto,Lula (PT),Bolsonaro (PL),51.0,37.0,,,14.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,
5a118d430d,AtlasIntel,,,2022-09-27,,4500,,1,Lula vs Bolsonaro direto,Lula (PT),Bolsonaro (PL),47.0,42.0,,,5.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,
d8b136b215,PoderData,,,2022-09-28,,3000,,1,Lula vs Bolsonaro direto,Lula (PT),Bolsonaro (PL),47.0,40.0,,,7.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,
45f0c7735a,Real Time Big Data,,,2022-09-28,,2000,,1,Lula vs Bolsonaro direto,Lula (PT),Bolsonaro (PL),47.0,39.0,,,8.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,
b65c17b7d4,Quaest,,,2022-09-28,,2000,,1,Lula vs Bolsonaro direto,Lula (PT),Bolsonaro (PL),48.0,40.0,,,8.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,
4805dbe248,Apex/Futura,,,2022-09-27,,2000,,1,Lula vs Bolsonaro direto,Lula (PT),Bolsonaro (PL),47.0,40.0,,,7.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,
9e1e82673f,IPESPE,,,2022-09-26,,2000,,1,Lula vs Bolsonaro direto,Lula (PT),Bolsonaro (PL),48.0,35.0,,,13.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,
93b79e2f15,Nexus,,,2022-09-25,,2000,,1,Lula vs Bolsonaro direto,Lula (PT),Bolsonaro (PL),47.0,38.0,,,9.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,
cf8a0f24b5,Paraná Pesquisas,,,2022-09-26,,2000,,1,Lula vs Bolsonaro direto,Lula (PT),Bolsonaro (PL),45.0,39.0,,,6.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,
cd863c0259,Datafolha,,,2022-09-23,,2400,,1,Lula vs Bolsonaro direto,Lula (PT),Bolsonaro (PL),47.0,33.0,,,14.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,
a0873d91cf,Ipec,,,2022-09-22,,3008,,1,Lula vs Bolsonaro direto,Lula (PT),Bolsonaro (PL),48.0,31.0,,,17.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,
2d9f7404e8,AtlasIntel,,,2022-09-22,,4500,,1,Lula vs Bolsonaro direto,Lula (PT),Bolsonaro (PL),47.0,41.0,,,6.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,
0d8e7d1a7e,PoderData,,,2022-09-21,,3000,,1,Lula vs Bolsonaro direto,Lula (PT),Bolsonaro (PL),46.0,40.0,,,6.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,
83c3a59c17,Quaest,,,2022-09-21,,2000,,1,Lula vs Bolsonaro direto,Lula (PT),Bolsonaro (PL),47.0,38.0,,,9.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2022_Brazilian_presidential_election,
